戏曲专线,#genre#
河曲二人台牌子曲《西江月》,http://gcw.bdcdn.shoujiduoduo.com/v/200201/c386dae48f7df5949df61261b070fdd0.mp4
二人台剧场：张家口群艺二人台队演出《打金钱》，经典二人台,http://gcw.bdcdn.shoujiduoduo.com/v/190531/4911fc5c9bc0e4d757d3a8c70ab54033.mp4
二人台剧场：二人台走西口，樊学勤王亚苏表演,http://gcw.bdcdn.shoujiduoduo.com/v/200617/2dadf5e9737eb583c6f82a104832c261.mp4
莺歌燕舞民间二人台,http://gcw.bdcdn.shoujiduoduo.com/v/190809/7ef0d301b8ba625ed23c6b11db351b52.mp4
二人台《小叔子挎嫂嫂》,http://gcw.bdcdn.shoujiduoduo.com/v/190917/b887dfe149fd8b1cc5fbe3eac546b49a.mp4
二人台传统戏《探病》王茂林 田威虎,http://gcw.bdcdn.shoujiduoduo.com/v/191227/bf06f5573bbab198867401145d650d5c.mp4
锣鼓众唱二人台《红红火火》一种好听又好看的演唱形式,http://gcw.bdcdn.shoujiduoduo.com/v/191227/6f833e835ada606ecdd30334168ce6a4.mp4
康保二人台, 草滩相会1, 好看的二人台,http://gcw.bdcdn.shoujiduoduo.com/v/190620/a29c33a840fc002a2c024a2b8b41cc5d.mp4
家乡二人台乌兰牧骑后台的孩子们,http://gcw.bdcdn.shoujiduoduo.com/v/191017/84e49ef1fa9e8de8ced51fde056223e1.mp4
内蒙古二人台 单身苦，唱出了心声,http://gcw.bdcdn.shoujiduoduo.com/v/190603/76cf54a6b1c28599ddc723c4b6d23cef.mp4
忻州永兴民乐团吹奏二人台《走西口》主奏 团长：侯奇峰,http://gcw.bdcdn.shoujiduoduo.com/v/210303/9f9275b65ebccf90a2af213afd14ad3e.mp4
阳高二人台农民艺术团排炼节目,http://gcw.bdcdn.shoujiduoduo.com/v/191108/8532cf712888e79cf19401ce0a8d7f21.mp4
家乡二人台张飞牧牛,http://gcw.bdcdn.shoujiduoduo.com/v/200118/99156c2e46f88ed1ce3d2d915aa1ecd8.mp4
二人台剧场：二人台《方四姐》，见过十三个月忙的人吗？张素珍钱文秀表演,http://gcw.bdcdn.shoujiduoduo.com/v/190427/099b1dfcf6552004f22a4221ef381419.mp4
家乡二人台八月十五组合,http://gcw.bdcdn.shoujiduoduo.com/v/191207/cec4e2f1f2fa1dafb6b0fb5ed64ffafe.mp4
二人台小放牛,http://gcw.bdcdn.shoujiduoduo.com/v/191212/c1ce88590d948dde187d414b0ed326ed.mp4
二人台《二后生四闺女回门酒曲》太好听了，精彩好看,http://gcw.bdcdn.shoujiduoduo.com/v/190917/1561df072175be90d05bb02cc4fba0ae.mp4
二人台剧场：张家口康保二人台《邋遢老婆》，这样的老婆你娶不娶,http://gcw.bdcdn.shoujiduoduo.com/v/191106/494f7c0a6c9bd2e4305ddfefa6b8d73e.mp4
大同走进大戏台大伟，杨霞【二人台】表演【打连成】,http://gcw.bdcdn.shoujiduoduo.com/v/191113/f253a808716cc0833d9cb5d6601caf34.mp4
2017走进大戏台 四省区二人台大赛选拔赛,http://gcw.bdcdn.shoujiduoduo.com/v/201115/ce56c6788d775f623679ea5ada68a9a8.mp4
家乡二人台向沙千里一壶酒,http://gcw.bdcdn.shoujiduoduo.com/v/200210/34cf1867a38b339d9e9e47ae274f89eb.mp4
传统二人台打金钱康林梅和景美芬，,http://gcw.bdcdn.shoujiduoduo.com/v/191018/7eaec3a84a34b32bbd5ca12b94b97364.mp4
康保二人台, 草滩相会2, 好看的二人台,http://gcw.bdcdn.shoujiduoduo.com/v/190826/8b998a18db42b0f852e6f4b045bff7c0.mp4
二人台跳粉墙,http://gcw.bdcdn.shoujiduoduo.com/v/191230/4f213a68f7844ffc506e69bd3309dd3f.mp4
内蒙古二人台 刘爱爱,http://gcw.bdcdn.shoujiduoduo.com/v/190604/10003232.mp4
家乡二人台牌子曲枚韵赵官军,http://gcw.bdcdn.shoujiduoduo.com/v/191018/46fd3b500cf959d3d0f7dbdc13a3eb32.mp4
云飞现场一首《亲亲的二人台》帅到全场尖叫!,http://gcw.bdcdn.shoujiduoduo.com/v/200122/2956c3d631e201b6427a847dc05c492f.mp4
康保二人台, 草滩相会4, 好看的二人台,http://gcw.bdcdn.shoujiduoduo.com/v/190624/af0375b07c4a9337d8aa387ba0d3ae0a.mp4
忻州侯奇峰演艺传媒二人台《走西口》杨美萍~刘文进,http://gcw.bdcdn.shoujiduoduo.com/v/191211/01b716a5bf14e2f8e7b7ba9048098d8d.mp4
康保二人台, 草滩相会5, 好看的二人台,http://gcw.bdcdn.shoujiduoduo.com/v/190802/0fa24b311630c9199c05493e4217f5b5.mp4
河曲二人台《挎嫂嫂》二人表演得太好了，剧情精彩好看,http://gcw.bdcdn.shoujiduoduo.com/v/190924/d04a91a2ab4e42fd6005ee60e9e240b4.mp4
内蒙古二人台山曲/非物质文化遗产谢谢欣赏,http://gcw.bdcdn.shoujiduoduo.com/v/190626/cca8025a39b8f70e3c8e8295648290eb.mp4
东路二人台表演集锦（三）,http://gcw.bdcdn.shoujiduoduo.com/v/200806/759ddfa3b46b5ce401494edecbc76199.mp4
二人台传统戏《吃醋》刘俊青 郭美清,http://gcw.bdcdn.shoujiduoduo.com/v/190910/2b805026ff8f7f96dc940f8db0e8f2c4.mp4
家乡二人台航拍梁后村到新建,http://gcw.bdcdn.shoujiduoduo.com/v/200305/df258b24f46119168d251a8558ffe174.mp4
二人台:三国题 表演者:蓉儿、老五,http://gcw.bdcdn.shoujiduoduo.com/v/200310/e029d78bbc1c75d4a4b960264cd4573d.mp4
二人台牧牛,http://gcw.bdcdn.shoujiduoduo.com/v/190614/763e8d407d67f4ca7604f5c25a9e65c9.mp4
二人台传统戏《卖菜》张永清 郭美清,http://gcw.bdcdn.shoujiduoduo.com/v/190911/e7d4f2a51866296ff1019d257714dae6.mp4
二人台剧场：二人台小戏庄户亲家，刘月霞董云峰刘淑荣表演,http://gcw.bdcdn.shoujiduoduo.com/v/190911/33db28216080507f4a0f3db34e25c038.mp4
二人台传统戏《顶灯》张飞 郭美清,http://gcw.bdcdn.shoujiduoduo.com/v/190925/e322bf0d47edf28aea15e81dd253e75d.mp4
二人台：压糕面 表演者：薛桂兰、赵丽荣,http://gcw.bdcdn.shoujiduoduo.com/v/191213/e8c0e8f4455b966788611bbebddae2de.mp4
二人台表演艺术家 郝刚,http://gcw.bdcdn.shoujiduoduo.com/v/190818/e3a8feab9a9cb53c1c9494a561d9f594.mp4
二人台《 二后生四闺女回门酒曲》,http://gcw.bdcdn.shoujiduoduo.com/v/191014/075301e33581c5fe3fabc523f72d6b44.mp4
